City Web Link,City Name,URL,Mayor,Population,Street,City Name,State,Zip,County,Address,Latitude,Longitude,Location
City of Bellevue,City of Bellevue,https://bellevuewa.gov/,Lynne Robinson,154600,PO Box 90012,Bellevue,WA,98009,King,"PO Box 90012,Bellevue,WA 98009",47.62071,-122.201473,"47.62071,-122.201473"
City of Ellensburg,City of Ellensburg,https://ci.ellensburg.wa.us/,Nancy Lillquist,20900,501 N Anderson St,Ellensburg,WA,98926-3147,Kittitas,"501 N Anderson St,Ellensburg,WA 98926-3147",46.99717,-120.54259,"46.99717,-120.54259"
City of Chelan,City of Chelan,https://cityofchelan.us/,Robert Goedde,4470,PO Box 1669,Chelan,WA,98816,Chelan,"PO Box 1669,Chelan,WA 98816",47.840625,-120.017191,"47.840625,-120.017191"
City of Leavenworth,City of Leavenworth,https://cityofleavenworth.com/,Carl Florea,2590,PO Box 287,Leavenworth,WA,98826,Chelan,"PO Box 287,Leavenworth,WA 98826",47.596914,-120.661082,"47.596914,-120.661082"
City of Moxee,City of Moxee,https://cityofmoxee.us/,Leroy Lenseigne,4785,PO Box 249,Moxee,WA,98936,Yakima,"PO Box 249,Moxee,WA 98936",46.553168,-120.380047,"46.553168,-120.380047"
City of Mukilteo,City of Mukilteo,https://cityofmoxee.us/,Joe Marine,21590,11930 Cyrus Way,Mukilteo,WA,98275-5408,Snohomish,"11930 Cyrus Way,Mukilteo,WA 98275-5408",47.88955,-122.289685,"47.88955,-122.289685"
City of Poulsbo,City of Poulsbo,https://cityofpoulsbo.com/contact-city-staff/,Becky Erickson,12400,200 NE Moe St,Poulsbo,WA,98370-7347,Kitsap,"200 NE Moe St,Poulsbo,WA 98370-7347",47.735645,-122.645835,"47.735645,-122.645835"
City of Prosser,City of Prosser,https://cityofprosser.com/staffdirectory,Randy Taylor,6445,PO Box 1639,Prosser,WA,99350,Benton,"PO Box 1639,Prosser,WA 99350",46.206586,-119.763645,"46.206586,-119.763645"
City of Port Townsend,City of Port Townsend,https://cityofpt.us/,David Faber,10330,250 Madison St Ste 2,Port Townsend,WA,98368-5738,Jefferson,"250 Madison St Ste 2,Port Townsend,WA 98368-5738",48.116133,-122.753513,"48.116133,-122.753513"
City of Tenino,City of Tenino,https://cityoftenino.us/,Wayne Fournier,2045,PO Box 4019,Tenino,WA,98589,Thurston,"PO Box 4019,Tenino,WA 98589",46.856741,-122.850293,"46.856741,-122.850293"
Town of Endicott,Town of Endicott,https://endicottwa.wordpress.com/,Steve Salzman,310,201 C St,Endicott,WA,99125,Whitman,"201 C St,Endicott,WA 99125",46.92962,-117.68495,"46.92962,-117.68495"
City of Everett,City of Everett,https://everettwa.gov/,Cassie Franklin,114200,2930 Wetmore Ave Ste 1-A,Everett,WA,98201-4067,Snohomish,"2930 Wetmore Ave Ste 1-A,Everett,WA 98201-4067",47.978365,-122.207615,"47.978365,-122.207615"
City of Forks,City of Forks,https://forkswashington.org/,Tim Fletcher,3395,500 E Division St,Forks,WA,98331-8618,Clallam,"500 E Division St,Forks,WA 98331-8618",47.94981,-124.37944,"47.94981,-124.37944"
Town of Malden,Town of Malden,https://maldenwaorg.wordpress.com/,Dan Harwood,135,PO Box 248,Malden,WA,99149,Whitman,"PO Box 248,Malden,WA 99149",47.228935,-117.472586,"47.228935,-117.472586"
City of Spokane,City of Spokane,https://my.spokanecity.org/directory/,Nadine Woodward,232700,808 W Spokane Falls Blvd,Spokane,WA,99201-3333,Spokane,"808 W Spokane Falls Blvd,Spokane,WA 99201-3333",47.66045,-117.42414,"47.66045,-117.42414"
City of Normandy Park,City of Normandy Park,https://normandyparkwa.gov/services/city-staff-directory/,Sue-Ann Hohimer,6840,801 SW 174th St,Normandy Park,WA,98166-3679,King,"801 SW 174th St,Normandy Park,WA 98166-3679",47.44542,-122.34545,"47.44542,-122.34545"
City of Port Orchard,City of Port Orchard,https://portorchardwa.gov/,Rob Putaansuu,17480,216 Prospect St,Port Orchard,WA,98366-5326,Kitsap,"216 Prospect St,Port Orchard,WA 98366-5326",47.54116,-122.638805,"47.54116,-122.638805"
City of Ridgefield,City of Ridgefield,https://ridgefieldwa.us/government/city-departments/staff-directory/,Jennifer Lindsay,15180,PO Box 608,Ridgefield,WA,98642,Clark,"PO Box 608,Ridgefield,WA 98642",45.816754,-122.746527,"45.816754,-122.746527"
City of Selah,City of Selah,https://selahwa.gov/,Sherry Raymond,8450,115 W Naches Ave,Selah,WA,98942-1303,Yakima,"115 W Naches Ave,Selah,WA 98942-1303",46.654337,-120.531313,"46.654337,-120.531313"
City of Sprague,City of Sprague,https://sprague-wa.us/,Michael Coombs,500,119 W Second St,Sprague,WA,99032,Lincoln,"119 W Second St,Sprague,WA 99032",47.29919,-117.97634,"47.29919,-117.97634"
